"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.35,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,8,0,0,0,"sympiso"
0.35,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,8,0,0,0,"asympiso"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,1537,1276,1806,"tot.cases"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,11,7,16,"peak.hosp"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,0,0,0,"days.above.thresh"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,39,28,51,"tot.hosp"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,19,12,27,"death"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,1215,988,1445,"tot.cases"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,9,6,14,"peak.hosp"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,33,24,44,"tot.hosp"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,17,11,24,"death"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,949,768,1142.05,"tot.cases"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,8,5,12,"peak.hosp"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,0,0,0,"days.above.thresh"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,29,20,38,"tot.hosp"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,15,9,22,"death"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,0,0,0,"sympiso"
0.5,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,11,0,0,0,"asympiso"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,730,589,884,"tot.cases"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,6,4,10,"peak.hosp"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,0,0,0,"days.above.thresh"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,24,17,33,"tot.hosp"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,13,7,19,"death"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,0,0,0,"sympiso"
0.55,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,12,0,0,0,"asympiso"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,551,440.95,676,"tot.cases"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,5,3,9,"peak.hosp"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,0,0,0,"days.above.thresh"
