"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,231,172,300,"tot.cases"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,4,2.95000000000002,7,"peak.hosp"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,0,0,0,"days.above.thresh"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,13,8,19,"tot.hosp"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,8,4,12,"death"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,180,152,211,"sympiso"
0.55,1000,1,5,0.2,5,0.2,0.2,1754,30,21,41,"asympiso"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,189,143,244,"tot.cases"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,4,2,6,"peak.hosp"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,0,0,0,"days.above.thresh"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,12,8,17,"tot.hosp"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,7,4,12,"death"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,161,138,187,"sympiso"
0.6,1000,1,5,0.2,5,0.2,0.2,1755,27,18,37,"asympiso"
0,1500,1,5,0.2,5,0.2,0.2,1756,1600,1249.95,1951,"tot.cases"
0,1500,1,5,0.2,5,0.2,0.2,1756,11,7,17,"peak.hosp"
0,1500,1,5,0.2,5,0.2,0.2,1756,0,0,0,"days.above.thresh"
0,1500,1,5,0.2,5,0.2,0.2,1756,40,29,53,"tot.hosp"
0,1500,1,5,0.2,5,0.2,0.2,1756,20,13,28,"death"
0,1500,1,5,0.2,5,0.2,0.2,1756,621,499,746,"sympiso"
0,1500,1,5,0.2,5,0.2,0.2,1756,165,127,204,"asympiso"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,1368,1061.95,1698.05,"tot.cases"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,10,6,15,"peak.hosp"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,0,0,0,"days.above.thresh"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,36,26,49,"tot.hosp"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,18,11,26,"death"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,548,441,667,"sympiso"
0.05,1500,1,5,0.2,5,0.2,0.2,1757,145,112,182,"asympiso"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,1165,901,1448,"tot.cases"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,9,6,14,"peak.hosp"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,0,0,0,"days.above.thresh"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,33,23,44,"tot.hosp"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,17,10,24,"death"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,484,392,587,"sympiso"
0.1,1500,1,5,0.2,5,0.2,0.2,1758,129,98,162,"asympiso"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,984,760,1230,"tot.cases"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,8,5,12,"peak.hosp"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,0,0,0,"days.above.thresh"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,29,20,40,"tot.hosp"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,15,9,22,"death"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,426,343,517,"sympiso"
0.15,1500,1,5,0.2,5,0.2,0.2,1759,113,86,144,"asympiso"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,829,634,1046,"tot.cases"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,7,4,11,"peak.hosp"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,0,0,0,"days.above.thresh"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,26,18,36,"tot.hosp"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,14,8,20,"death"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,375,303,456.05,"sympiso"
0.2,1500,1,5,0.2,5,0.2,0.2,1760,100,76,127,"asympiso"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,694,532,891,"tot.cases"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,6,4,10,"peak.hosp"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,0,0,0,"days.above.thresh"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,24,16,33,"tot.hosp"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,13,7,19,"death"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,329,267.95,402,"sympiso"
0.25,1500,1,5,0.2,5,0.2,0.2,1761,88,66,112.05,"asympiso"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,581,443,753,"tot.cases"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,6,4,9,"peak.hosp"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,0,0,0,"days.above.thresh"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,21,14,30,"tot.hosp"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,11,7,17,"death"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,291,238,352.05,"sympiso"
0.3,1500,1,5,0.2,5,0.2,0.2,1762,77,57,100,"asympiso"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,488.5,365,641,"tot.cases"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,5,3,8,"peak.hosp"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,0,0,0,"days.above.thresh"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,19,13,27,"tot.hosp"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,11,6,16,"death"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,256,211,309,"sympiso"
0.35,1500,1,5,0.2,5,0.2,0.2,1763,69,51,89,"asympiso"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,407,301,532,"tot.cases"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,5,3,8,"peak.hosp"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,0,0,0,"days.above.thresh"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,17,11,25,"tot.hosp"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,10,5,15,"death"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,226,186,269,"sympiso"
0.4,1500,1,5,0.2,5,0.2,0.2,1764,61,44,79,"asympiso"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,338,249.95,443,"tot.cases"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,5,3,7,"peak.hosp"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,0,0,0,"days.above.thresh"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,16,10,23,"tot.hosp"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,9,5,14,"death"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,201,167,238,"sympiso"
0.45,1500,1,5,0.2,5,0.2,0.2,1765,53,39,70,"asympiso"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,277,205,366,"tot.cases"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,4,3,7,"peak.hosp"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,0,0,0,"days.above.thresh"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,14,9,21,"tot.hosp"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,8,4,13,"death"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,178,149,211,"sympiso"
0.5,1500,1,5,0.2,5,0.2,0.2,1766,47,34,62,"asympiso"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,230,172,298,"tot.cases"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,4,2,6,"peak.hosp"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,0,0,0,"days.above.thresh"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,13,8,19,"tot.hosp"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,8,4,12,"death"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,160,134.95,187,"sympiso"
0.55,1500,1,5,0.2,5,0.2,0.2,1767,42,30,55,"asympiso"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,189,142,248,"tot.cases"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,4,2,6,"peak.hosp"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,0,0,0,"days.above.thresh"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,12,8,17,"tot.hosp"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,7,3,11,"death"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,144,122,169,"sympiso"
0.6,1500,1,5,0.2,5,0.2,0.2,1768,37,27,49,"asympiso"
0,2000,1,5,0.2,5,0.2,0.2,1769,1616,1271,1981,"tot.cases"
0,2000,1,5,0.2,5,0.2,0.2,1769,12,7,17,"peak.hosp"
0,2000,1,5,0.2,5,0.2,0.2,1769,0,0,0,"days.above.thresh"
0,2000,1,5,0.2,5,0.2,0.2,1769,40,29,54,"tot.hosp"
0,2000,1,5,0.2,5,0.2,0.2,1769,20,13,28,"death"
0,2000,1,5,0.2,5,0.2,0.2,1769,546,442,662,"sympiso"
0,2000,1,5,0.2,5,0.2,0.2,1769,207,162,258,"asympiso"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,1386,1079,1708,"tot.cases"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,10,6,15,"peak.hosp"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,0,0,0,"days.above.thresh"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,36,26,49,"tot.hosp"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,18,11,26,"death"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,484,392,589,"sympiso"
0.05,2000,1,5,0.2,5,0.2,0.2,1770,184,143,228,"asympiso"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,1178,907.95,1465,"tot.cases"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,9,5,14,"peak.hosp"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,0,0,0,"days.above.thresh"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,33,23,44,"tot.hosp"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,16,10,24,"death"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,428,343,520,"sympiso"
0.1,2000,1,5,0.2,5,0.2,0.2,1771,162,126,203,"asympiso"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,997,768.95,1249.05,"tot.cases"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,8,5,12,"peak.hosp"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,0,0,0,"days.above.thresh"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,29,21,40,"tot.hosp"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,15,9,22,"death"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,377,304,457.05,"sympiso"
0.15,2000,1,5,0.2,5,0.2,0.2,1772,142,109,180,"asympiso"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,838,634,1060,"tot.cases"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,7,4,11,"peak.hosp"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,0,0,0,"days.above.thresh"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,26,18,36,"tot.hosp"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,14,8,21,"death"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,333,268.95,403,"sympiso"
0.2,2000,1,5,0.2,5,0.2,0.2,1773,125,96,158,"asympiso"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,705,534,903,"tot.cases"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,6,4,10,"peak.hosp"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,0,0,0,"days.above.thresh"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,24,16,33,"tot.hosp"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,13,7,19,"death"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,294,238,359,"sympiso"
0.25,2000,1,5,0.2,5,0.2,0.2,1774,110,84,141,"asympiso"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,593,447,765,"tot.cases"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,6,4,9,"peak.hosp"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,0,0,0,"days.above.thresh"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,21,15,30,"tot.hosp"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,11,7,18,"death"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,257,211,311,"sympiso"
0.3,2000,1,5,0.2,5,0.2,0.2,1775,97,74,124,"asympiso"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,492,366,643,"tot.cases"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,5,3,8,"peak.hosp"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,0,0,0,"days.above.thresh"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,19,13,27,"tot.hosp"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,11,6,16,"death"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,227,186,271,"sympiso"
0.35,2000,1,5,0.2,5,0.2,0.2,1776,85,64,110,"asympiso"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,409,303,539,"tot.cases"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,5,3,8,"peak.hosp"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,0,0,0,"days.above.thresh"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,17,11,25,"tot.hosp"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,10,5,15,"death"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,200,166,240,"sympiso"
0.4,2000,1,5,0.2,5,0.2,0.2,1777,75,56,97,"asympiso"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,340,251,443,"tot.cases"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,5,3,7,"peak.hosp"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,0,0,0,"days.above.thresh"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,16,10,22,"tot.hosp"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,9,5,14,"death"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,178,148,211,"sympiso"
0.45,2000,1,5,0.2,5,0.2,0.2,1778,66,49,85,"asympiso"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,280,207,367,"tot.cases"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,4,3,7,"peak.hosp"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,0,0,0,"days.above.thresh"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,14,9,21,"tot.hosp"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,8,4,13,"death"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,160,133,188,"sympiso"
0.5,2000,1,5,0.2,5,0.2,0.2,1779,58,44,76,"asympiso"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,230,172,302,"tot.cases"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,4,3,6,"peak.hosp"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,0,0,0,"days.above.thresh"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,13,8,19,"tot.hosp"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,8,4,12,"death"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,143,121,168,"sympiso"
0.55,2000,1,5,0.2,5,0.2,0.2,1780,52,38,67,"asympiso"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,189,141.95,245,"tot.cases"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,4,2,6,"peak.hosp"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,0,0,0,"days.above.thresh"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,12,8,17,"tot.hosp"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,7,3,11,"death"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,129,110,151,"sympiso"
0.6,2000,1,5,0.2,5,0.2,0.2,1781,46,34,60,"asympiso"
0,2500,1,5,0.2,5,0.2,0.2,1782,1637,1291.95,2015.05,"tot.cases"
0,2500,1,5,0.2,5,0.2,0.2,1782,12,7,17.0500000000002,"peak.hosp"
0,2500,1,5,0.2,5,0.2,0.2,1782,0,0,0,"days.above.thresh"
0,2500,1,5,0.2,5,0.2,0.2,1782,41,29,54,"tot.hosp"
0,2500,1,5,0.2,5,0.2,0.2,1782,20,13,28,"death"
0,2500,1,5,0.2,5,0.2,0.2,1782,484,391,587,"sympiso"
0,2500,1,5,0.2,5,0.2,0.2,1782,247,195,307,"asympiso"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,1397,1084,1745.05,"tot.cases"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,10,6,15,"peak.hosp"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,0,0,0,"days.above.thresh"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,37,26,49,"tot.hosp"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,18,11,26,"death"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,427,344,522,"sympiso"
0.05,2500,1,5,0.2,5,0.2,0.2,1783,217,170,270,"asympiso"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,1192,920,1495.05,"tot.cases"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,9,6,14,"peak.hosp"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,0,0,0,"days.above.thresh"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,33,23,45,"tot.hosp"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,16,10,24,"death"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,378,303,461,"sympiso"
0.1,2500,1,5,0.2,5,0.2,0.2,1784,191,149,239,"asympiso"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,1008,770,1268.05,"tot.cases"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,8,5,12,"peak.hosp"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,0,0,0,"days.above.thresh"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,30,21,40,"tot.hosp"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,15,9,22,"death"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,334,269,407.05,"sympiso"
0.15,2500,1,5,0.2,5,0.2,0.2,1785,168,130,211,"asympiso"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,850,643,1081.05,"tot.cases"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,7,4,11,"peak.hosp"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,0,0,0,"days.above.thresh"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,27,18,36,"tot.hosp"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,14,8,21,"death"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,295,237,360,"sympiso"
0.2,2500,1,5,0.2,5,0.2,0.2,1786,148,114,186,"asympiso"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,716,536,919,"tot.cases"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,6,4,10,"peak.hosp"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,0,0,0,"days.above.thresh"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,24,16,33,"tot.hosp"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,13,7,19,"death"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,260,209,315,"sympiso"
0.25,2500,1,5,0.2,5,0.2,0.2,1787,130,99,164.05,"asympiso"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,598,445,776,"tot.cases"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,6,4,9,"peak.hosp"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,0,0,0,"days.above.thresh"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,21,14,30,"tot.hosp"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,12,7,17.0500000000002,"death"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,227,186,275,"sympiso"
0.3,2500,1,5,0.2,5,0.2,0.2,1788,114,88,144,"asympiso"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,498,374,647,"tot.cases"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,5,3,8,"peak.hosp"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,0,0,0,"days.above.thresh"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,19,13,27,"tot.hosp"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,11,6,16,"death"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,202,165,240,"sympiso"
0.35,2500,1,5,0.2,5,0.2,0.2,1789,100,76,127,"asympiso"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,412,310,537,"tot.cases"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,5,3,8,"peak.hosp"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,0,0,0,"days.above.thresh"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,17,12,25,"tot.hosp"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,10,5,15,"death"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,179,149,213,"sympiso"
0.4,2500,1,5,0.2,5,0.2,0.2,1790,88,66,112,"asympiso"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,342,253,448,"tot.cases"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,5,3,7,"peak.hosp"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,0,0,0,"days.above.thresh"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,16,10,23,"tot.hosp"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,9,5,14,"death"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,160,133,189,"sympiso"
0.45,2500,1,5,0.2,5,0.2,0.2,1791,78,59,99,"asympiso"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,282,210,369,"tot.cases"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,4,3,7,"peak.hosp"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,0,0,0,"days.above.thresh"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,14,9,21,"tot.hosp"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,8,4,13,"death"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,143,119,169,"sympiso"
0.5,2500,1,5,0.2,5,0.2,0.2,1792,68,52,87,"asympiso"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,231,172,303,"tot.cases"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,4,3,6,"peak.hosp"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,0,0,0,"days.above.thresh"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,13,8,19,"tot.hosp"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,8,4,12,"death"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,128,108,151,"sympiso"
0.55,2500,1,5,0.2,5,0.2,0.2,1793,60,45,77,"asympiso"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,190,141.95,248,"tot.cases"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,4,2,6,"peak.hosp"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,0,0,0,"days.above.thresh"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,12,8,17,"tot.hosp"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,7,4,11,"death"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,116,98,136,"sympiso"
0.6,2500,1,5,0.2,5,0.2,0.2,1794,53,40,68,"asympiso"
0,3000,1,5,0.2,5,0.2,0.2,1795,1652,1302,2028.05,"tot.cases"
0,3000,1,5,0.2,5,0.2,0.2,1795,12,7,18,"peak.hosp"
0,3000,1,5,0.2,5,0.2,0.2,1795,0,0,0,"days.above.thresh"
0,3000,1,5,0.2,5,0.2,0.2,1795,41,30,54,"tot.hosp"
0,3000,1,5,0.2,5,0.2,0.2,1795,20,13,28,"death"
0,3000,1,5,0.2,5,0.2,0.2,1795,426,346,515,"sympiso"
0,3000,1,5,0.2,5,0.2,0.2,1795,282,222,346,"asympiso"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,1408,1095.95,1748,"tot.cases"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,10,6,15,"peak.hosp"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,0,0,0,"days.above.thresh"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,37,26,49,"tot.hosp"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,18,12,26,"death"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,376,304,457,"sympiso"
0.05,3000,1,5,0.2,5,0.2,0.2,1796,247,194,307,"asympiso"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,1208,924.95,1511.05,"tot.cases"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,9,6,14,"peak.hosp"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,0,0,0,"days.above.thresh"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,33,23,45,"tot.hosp"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,17,10,24,"death"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,334,269,404,"sympiso"
0.1,3000,1,5,0.2,5,0.2,0.2,1797,219,169,273,"asympiso"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,1016,773,1278.05,"tot.cases"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,8,5,12,"peak.hosp"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,0,0,0,"days.above.thresh"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,30,20,40.0500000000002,"tot.hosp"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,15,9,22,"death"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,295,237,358,"sympiso"
0.15,3000,1,5,0.2,5,0.2,0.2,1798,191,149,238,"asympiso"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,861,652,1100,"tot.cases"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,7,4,11,"peak.hosp"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,0,0,0,"days.above.thresh"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,27,18,36.0500000000002,"tot.hosp"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,14,8,21,"death"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,259.5,211,313,"sympiso"
0.2,3000,1,5,0.2,5,0.2,0.2,1799,168,131,211,"asympiso"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,719,536,932,"tot.cases"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,6,4,10,"peak.hosp"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,0,0,0,"days.above.thresh"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,24,16,33,"tot.hosp"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,13,7,19,"death"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,229,185,275,"sympiso"
0.25,3000,1,5,0.2,5,0.2,0.2,1800,147,114,187,"asympiso"
0.3,3000,1,5,0.2,5,0.2,0.2,1801,601,450,777,"tot.cases"
0.3,3000,1,5,0.2,5,0.2,0.2,1801,6,4,9,"peak.hosp"
0.3,3000,1,5,0.2,5,0.2,0.2,1801,0,0,0,"days.above.thresh"
