"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,21,14,29,"tot.hosp"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,11,6,17,"death"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,700,564,852,"tot.cases"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,5,3,8,"peak.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,19,13,26,"tot.hosp"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,10,6,15,"death"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,560,444,688,"tot.cases"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,5,3,7,"peak.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"days.above.thresh"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,16,11,23,"tot.hosp"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,9,5,14,"death"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"sympiso"
0.5,0,1,0.0416666666666667,0.0416666666666667,24,24,11,0,0,0,"asympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,444,352,549,"tot.cases"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,4,3,7,"peak.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"days.above.thresh"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,14,9,21,"tot.hosp"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,8,4,13,"death"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"sympiso"
0.55,0,1,0.0416666666666667,0.0416666666666667,24,24,12,0,0,0,"asympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,350,276,433,"tot.cases"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,4,2,6,"peak.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"days.above.thresh"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,13,8,19,"tot.hosp"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,7,4,12,"death"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"sympiso"
0.6,0,1,0.0416666666666667,0.0416666666666667,24,24,13,0,0,0,"asympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,1076,835,1339,"tot.cases"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,7,4,11,"peak.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,0,0,0,"days.above.thresh"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,24,16,33,"tot.hosp"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,12,7,18,"death"
