"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0.35,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,8,0,0,0,"asympiso"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,898,720.95,1080,"tot.cases"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,6,4,9,"peak.hosp"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"days.above.thresh"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,21,15,29,"tot.hosp"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,11,6,17,"death"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"sympiso"
0.4,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,9,0,0,0,"asympiso"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,729,582.95,886,"tot.cases"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,5,3,8,"peak.hosp"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"days.above.thresh"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,19,13,27,"tot.hosp"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,10,6,16,"death"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"sympiso"
0.45,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,10,0,0,0,"asympiso"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,585,465,712.05,"tot.cases"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,5,3,7,"peak.hosp"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,0,0,0,"days.above.thresh"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,17,11,24,"tot.hosp"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,9,5,14,"death"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,0,0,0,"sympiso"
0.5,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,11,0,0,0,"asympiso"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,465,369,572,"tot.cases"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,4,3,7,"peak.hosp"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,0,0,0,"days.above.thresh"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,15,10,21,"tot.hosp"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,8,4,13,"death"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,0,0,0,"sympiso"
0.55,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,12,0,0,0,"asympiso"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,369.5,291,457,"tot.cases"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,4,3,6,"peak.hosp"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,0,0,0,"days.above.thresh"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,13,9,19,"tot.hosp"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,8,4,12,"death"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,0,0,0,"sympiso"
0.6,0,1,0.0416666666666667,0.5,0.0416666666666667,24,24,13,0,0,0,"asympiso"
